Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1549.164
FDW14,OUT017,1436.6641
NCN55,OUT010,822.28186
FDQ58,OUT017,2693.011
FDY38,OUT027,6077.3774
FDH56,OUT046,1691.2843
FDL48,OUT018,434.0594
FDC48,OUT027,1504.0964
FDN33,OUT045,1402.9939
FDA36,OUT017,2978.6035
FDT44,OUT017,1775.1882
FDQ56,OUT045,1485.8009
NCC54,OUT019,779.11597
FDU11,OUT049,2235.8682
DRL59,OUT013,603.5292
FDM24,OUT049,2373.5562
FDI57,OUT045,3567.9258
DRC12,OUT018,2917.5298
NCM42,OUT027,2643.6638
FDA46,OUT010,567.7484
FDA31,OUT013,2882.8762
NCJ31,OUT035,3904.729
FDG52,OUT046,759.7328
NCL19,OUT019,478.14484
FDS10,OUT035,2453.4612
FDX22,OUT010,350.68994
NCF19,OUT035,565.2509
NCE06,OUT046,2176.0574
DRC27,OUT046,3789.2708
FDE21,OUT035,2170.317
NCR42,OUT019,39.37085
FDX51,OUT018,2547.4978
NCR06,OUT018,520.8127
FDU31,OUT027,4532.7246
FDU59,OUT017,3037.3057
FDR03,OUT027,6093.375
FDS49,OUT027,2462.0972
FDD48,OUT010,381.4961
NCF18,OUT017,2525.4834
NCD43,OUT027,2343.7676
NCD54,OUT018,1688.6815
FDY19,OUT010,247.87204
NCY54,OUT017,1899.2323
NCL19,OUT018,1867.4211
FDP23,OUT010,330.41403
FDC26,OUT013,1703.9175
FDR14,OUT010,118.70376
NCS41,OUT035,3064.1323
FDF41,OUT035,3375.178
FDU34,OUT046,1827.4336
DRH11,OUT046,976.7003
FDM03,OUT013,1886.9375
FDS31,OUT017,3126.3445
FDJ20,OUT017,1868.4209
FDV44,OUT027,4810.163
FDG02,OUT049,2619.3064
FDA09,OUT013,4065.543
FDT04,OUT013,399.49155
FDL58,OUT019,206.1829
FDE52,OUT045,1416.2065
FDW12,OUT035,2460.4363
FDL51,OUT017,3371.442
NCY42,OUT027,3280.7764
FDR07,OUT017,1623.4758
FDN40,OUT045,2429.9236
FDB35,OUT027,2437.4246
FDA22,OUT017,2762.4683
NCL06,OUT046,4675.443
FDI35,OUT013,3237.4238
NCW42,OUT045,3701.2034
NCX06,OUT049,3262.8567
FDC37,OUT027,2673.7434
FDZ14,OUT018,1750.4073
DRG49,OUT049,5025.9546
NCG06,OUT045,3019.4436
DRC36,OUT045,3127.284
FDV21,OUT019,399.6403
FDB53,OUT046,2752.307
DRP47,OUT019,309.4302
FDA14,OUT013,2467.5557
DRC24,OUT035,2698.4006
FDW21,OUT018,1973.5405
NCH29,OUT046,2152.9387
FDU58,OUT013,3911.0266
FDY27,OUT017,2590.8037
FDV56,OUT035,1411.0537
