Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1805.4422196721302
FDW14,OUT017,1412.156205042017
NCN55,OUT010,584.7577647727271
FDQ58,OUT017,2222.6712822580644
FDY38,OUT027,6280.890880000001
FDH56,OUT046,1922.1493817142853
FDL48,OUT018,713.8586545454549
FDC48,OUT027,2517.8820884848483
FDN33,OUT045,1465.0074654867258
FDA36,OUT017,2827.3566888888895
FDT44,OUT017,1922.1493817142853
FDQ56,OUT045,1412.156205042017
NCC54,OUT019,584.7577647727271
FDU11,OUT049,2089.9710432835814
DRL59,OUT013,713.8586545454549
FDM24,OUT049,2490.5268867052023
FDI57,OUT045,2919.0371914893626
DRC12,OUT018,2919.0371914893626
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.6995426229509
FDA31,OUT013,2788.8897239999997
NCJ31,OUT035,3719.064328378378
FDG52,OUT046,798.2176035398227
NCL19,OUT019,281.4820818181818
FDS10,OUT035,2919.0371914893626
FDX22,OUT010,584.7577647727271
NCF19,OUT035,798.2176035398227
NCE06,OUT046,2222.6712822580644
DRC27,OUT046,3692.819102439021
FDE21,OUT035,1922.1493817142853
NCR42,OUT019,92.67548155339806
FDX51,OUT018,2911.4114396396394
NCR06,OUT018,507.04640366972484
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2611.459542342344
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.8820884848483
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2919.0371914893626
NCD43,OUT027,2517.8820884848483
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2788.8897239999997
NCL19,OUT018,2232.84702184874
FDP23,OUT010,584.7577647727271
FDC26,OUT013,1805.4422196721302
FDR14,OUT010,165.9185816513762
NCS41,OUT035,3328.207380952379
FDF41,OUT035,3719.064328378378
FDU34,OUT046,1952.3712349514572
DRH11,OUT046,786.2280350877194
FDM03,OUT013,1461.8437959999997
FDS31,OUT017,3328.207380952379
FDJ20,OUT017,2089.9710432835814
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2827.3566888888895
FDA09,OUT013,2879.6715540000005
FDT04,OUT013,507.04640366972484
FDL58,OUT019,584.7577647727271
FDE52,OUT045,1299.6948639999998
FDW12,OUT035,2490.5268867052023
FDL51,OUT017,3692.819102439021
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1822.0213526011564
FDN40,OUT045,2490.5268867052023
FDB35,OUT027,2517.8820884848483
FDA22,OUT017,2611.459542342344
NCL06,OUT046,4606.651356603773
FDI35,OUT013,3328.207380952379
NCW42,OUT045,3969.4996000000006
NCX06,OUT049,2879.6715540000005
