Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1837.0
FDW14,OUT017,1458.0
NCN55,OUT010,1864.0
FDQ58,OUT017,2566.0
FDY38,OUT027,5191.0
FDH56,OUT046,1961.0
FDL48,OUT018,595.0
FDC48,OUT027,2783.0
FDN33,OUT045,1506.0
FDA36,OUT017,3082.0
FDT44,OUT017,1978.0
FDQ56,OUT045,1302.0
NCC54,OUT019,1869.0
FDU11,OUT049,2061.0
DRL59,OUT013,875.0
FDM24,OUT049,2561.0
FDI57,OUT045,3070.0
DRC12,OUT018,2739.0
NCM42,OUT027,3205.0
FDA46,OUT010,1114.0
FDA31,OUT013,2823.0
NCJ31,OUT035,3896.0
FDG52,OUT046,801.0
NCL19,OUT019,365.0
FDS10,OUT035,3022.0
FDX22,OUT010,1458.0
NCF19,OUT035,940.0
NCE06,OUT046,2581.0
DRC27,OUT046,3873.0
FDE21,OUT035,2010.0
NCR42,OUT019,-1363.0
FDX51,OUT018,2867.0
NCR06,OUT018,425.0
FDU31,OUT027,4959.0
FDU59,OUT017,2702.0
FDR03,OUT027,4755.0
FDS49,OUT027,2751.0
FDD48,OUT010,-86.0
NCF18,OUT017,3116.0
NCD43,OUT027,3109.0
NCD54,OUT018,1993.0
FDY19,OUT010,-86.0
NCY54,OUT017,2816.0
NCL19,OUT018,2017.0
FDP23,OUT010,1518.0
FDC26,OUT013,1839.0
FDR14,OUT010,-1050.0
NCS41,OUT035,3044.0
FDF41,OUT035,4062.0
FDU34,OUT046,2025.0
DRH11,OUT046,953.0
FDM03,OUT013,1735.0
FDS31,OUT017,3010.0
FDJ20,OUT017,2090.0
FDV44,OUT027,4495.0
FDG02,OUT049,3113.0
FDA09,OUT013,2995.0
FDT04,OUT013,655.0
FDL58,OUT019,2309.0
FDE52,OUT045,1430.0
FDW12,OUT035,2522.0
FDL51,OUT017,3546.0
NCY42,OUT027,3701.0
FDR07,OUT017,1650.0
FDN40,OUT045,2350.0
FDB35,OUT027,2967.0
FDA22,OUT017,2730.0
NCL06,OUT046,4149.0
FDI35,OUT013,2927.0
NCW42,OUT045,3408.0
NCX06,OUT049,2949.0
FDC37,OUT027,3203.0
FDZ14,OUT018,1731.0
DRG49,OUT049,3957.0
NCG06,OUT045,3956.0
DRC36,OUT045,2710.0
FDV21,OUT019,53.0
FDB53,OUT046,2377.0
DRP47,OUT019,2021.0
FDA14,OUT013,2335.0
DRC24,OUT035,2570.0
FDW21,OUT018,1403.0
NCH29,OUT046,1589.0
FDU58,OUT013,3099.0
FDY27,OUT017,2922.0
FDV56,OUT035,1962.0
FDT59,OUT046,3665.0
FDB23,OUT046,3657.0
FDR49,OUT045,678.0
FDB03,OUT010,1906.0
FDN39,OUT045,2650.0
FDX02,OUT027,4983.0
FDQ16,OUT027,3191.0
FDU35,OUT018,1315.0
NCT29,OUT013,1989.0
FDZ27,OUT046,841.0
FDN57,OUT017,2334.0
FDA03,OUT018,2083.0
FDZ36,OUT045,2922.0
NCU05,OUT013,1353.0
FDT39,OUT018,2195.0
FDK60,OUT017,1694.0
FDZ25,OUT017,2834.0
FDG12,OUT046,1945.0
DRB01,OUT019,1093.0
NCC43,OUT027,5381.0
FDX13,OUT019,2037.0
FDM22,OUT049,1033.0
FDJ03,OUT027,2315.0
FDU14,OUT018,3707.0
FDB33,OUT010,618.0
FDP27,OUT046,3049.0
FDO38,OUT010,-694.0
FDE28,OUT027,5151.0
FDO27,OUT035,1718.0
DRL23,OUT027,3163.0
FDS28,OUT046,1001.0
FDX24,OUT013,1555.0
FDZ02,OUT035,1770.0
FDL46,OUT045,1794.0
FDS60,OUT027,4303.0
NCO06,OUT017,632.0
FDO16,OUT035,1546.0
FDC60,OUT049,1557.0
FDA48,OUT018,3187.0
FDZ36,OUT027,4507.0
FDK27,OUT045,1870.0
FDW23,OUT018,379.0
FDM14,OUT018,1499.0
FDM14,OUT013,1795.0
FDW60,OUT018,2603.0
FDE21,OUT013,1923.0
NCM42,OUT035,1908.0
FDY59,OUT010,-406.0
DRI49,OUT049,1365.0
FDT28,OUT019,517.0
FDQ22,OUT018,387.0
FDR60,OUT049,1301.0
FDC50,OUT019,-427.0
FDV24,OUT013,2455.0
DRF48,OUT010,1114.0
FDQ47,OUT046,681.0
DRN36,OUT049,1645.0
NCY06,OUT035,2192.0
FDE52,OUT035,1654.0
NCB54,OUT045,1944.0
NCF31,OUT035,2576.0
FDJ08,OUT027,4455.0
NCC07,OUT017,1792.0
NCD19,OUT027,2325.0
FDL46,OUT049,2049.0
FDM20,OUT045,3818.0
NCI06,OUT010,928.0
DRM11,OUT035,4230.0
NCH07,OUT018,2217.0
FDS23,OUT013,2107.0
FDO49,OUT018,587.0
FDS35,OUT049,1161.0
DRK39,OUT045,1238.0
DRI39,OUT049,1029.0
FDV04,OUT017,2642.0
NCN14,OUT035,3024.0
FDH08,OUT013,3719.0
FDS20,OUT046,2937.0
FDV40,OUT049,1329.0
FDZ48,OUT010,-166.0
FDS24,OUT027,2919.0
FDK44,OUT049,2849.0
FDS48,OUT045,2366.0
FDK26,OUT010,1098.0
FDD23,OUT045,2966.0
NCH54,OUT017,2624.0
NCP14,OUT010,-256.0
FDM60,OUT010,-1222.0
FDV24,OUT017,2494.0
FDH08,OUT018,3355.0
FDS12,OUT027,3471.0
FDR39,OUT027,4311.0
FDP12,OUT027,2123.0
DRF60,OUT027,5163.0
FDC09,OUT035,1866.0
FDF50,OUT018,2843.0
FDG28,OUT035,4058.0
NCE19,OUT017,992.0
NCM53,OUT010,-212.0
NCN18,OUT049,1917.0
FDF32,OUT035,3298.0
FDF11,OUT013,3891.0
DRI59,OUT049,3637.0
NCG54,OUT035,2828.0
FDM44,OUT046,1673.0
FDT57,OUT018,3459.0
FDV24,OUT046,2425.0
FDI50,OUT019,1765.0
FDS09,OUT035,1054.0
NCC31,OUT027,3909.0
FDQ07,OUT019,1605.0
FDC22,OUT017,3174.0
FDZ56,OUT046,2729.0
FDZ40,OUT019,-987.0
FDS46,OUT027,3403.0
DRD24,OUT045,2154.0
FDV45,OUT017,3098.0
FDL26,OUT045,2394.0
FDA56,OUT018,1707.0
FDN27,OUT046,1913.0
FDM20,OUT049,3973.0
FDO16,OUT017,1458.0
FDL03,OUT035,3306.0
FDE58,OUT046,1897.0
FDI02,OUT027,3287.0
NCC55,OUT019,-1299.0
FDR03,OUT018,3027.0
FDB14,OUT017,1622.0
FDR45,OUT013,3839.0
NCN07,OUT017,2160.0
FDM51,OUT019,-187.0
FDT52,OUT027,5375.0
FDL26,OUT046,2481.0
NCZ42,OUT046,3797.0
DRI47,OUT019,421.0
FDW40,OUT013,2339.0
FDN34,OUT046,2817.0
FDS01,OUT035,2998.0
NCG55,OUT045,1764.0
FDC11,OUT035,1546.0
FDX35,OUT018,3347.0
NCB06,OUT046,2557.0
FDR09,OUT019,2213.0
FDC53,OUT017,1678.0
FDY45,OUT013,4123.0
FDA22,OUT010,738.0
FDE02,OUT035,1682.0
FDW21,OUT045,1606.0
FDV34,OUT046,1289.0
